"STRNO","STRDIR","STRNAME","STRTYPE","SUITE_NUM","BUS_NAME","OWNER1","OWNER2","AREA_CODE","PHONE_NUM","WARD","MAIL_ADDR","MAIL_CITY","MAIL_ZIP","INACTIV","INACDT","OWNER_TYPE","CORP_NAME","TITLE1","TITLE2","BUS_TYPE","NAICS","CLV_MJBL","HEN_MJBL","NLV_MJBL","CC_MJBL","CAT_DESC","STATUS","BUS_ADDRESS","ZIP","LIC_NUM"
"58","","30TH","ST","","SAMMYS FOOD SERVICE INC","SANTOS, CRISTOBAL","SANTOS, MARIA","0","2100032","3","58 30TH ST","LAS VEGAS NV","891010000","O","20100526","C","SAMMYS FOOD SERVICE INC","OWNER 50%","SECTY 50%","PARKING LOT","812930","","","","","PARKING LOT","OUT OF BUSINESS","58 30TH ST","89101","P02 10634134606"
"8","E","CHARLESTON","BL","","JANA CRUDER PHOTOGRAPHY","CRUDER, JANA","","0","3661603","3","8 E CHARLESTON BL","LAS VEGAS NV","891040000","O","20121218","S","","OWNER 100%","","PHOTOGRAPHY","541921","","","","","PHOTOGRAPHY BUSINESS","OUT OF BUSINESS","8 E CHARLESTON BL","89104","P06 1035I122310"
"30","","STONE CRESS","DR","","R & M LANDSCAPING AND MAINTENA","ANDERSON, RANDY","DIAZ, MICHAEL","0","0","0","1000 N GREEN VALLEY PK 440 309","HENDERSON NV","890740000","","0","C","R & M LANDSCAPING AND MAINTENA","MNG MBR 50","MNG MBR 50","LAWN MAINTENANCE","561730","","","","","LAWN/LANDSCAPE MAINT","ACTIVE","30 STONE CRESS DR","89074","L33 1518J162724"
"30","N","LAMB","BL","","VIVA EL TACO","ALEMAN, SERGIO","","702","4377405","3","30 N LAMB BL","LAS VEGAS NV","891040000","","20120502","S","","OWNER","","RESTAURANT","722110","","","","","FOOD CATERER","ACTIVE","30 N LAMB BL","89104","R10  7221 89062"
"30","N","LAMB","BL","","ARIAS MUSIC CO","GARCIA, RICHARD","","213","5032986","3","1108 E 7TH ST","LOS ANGELES CA","900210000","","0","S","","OWNER 100%","","JUKE BOX","713120","","","","","COIN AMUSEMENT PER MACH","ACTIVE","30 N LAMB BL","90021","C08 19715159930"
"30","W","WYOMING","AV","","REDBOX AUTOMATED RETAIL LLC","RADY, BRIAN","INC, COINSTAR","630","7568098","1","1 TOWER LANE 900","OAKBROOK TERRACE IL","601810000","O","20120215","C","REDBOX AUTOMATED RETAIL LLC","VP FINANCE","97%","DVD RENTAL KIOSK","454210","","","","","GENERAL SALES","OUT OF BUSINESS","30 W WYOMING AV","60181","G50 77663131818"
"30","W","WYOMING","AV","","7 ELEVEN FOOD STORE 29667","KENNEDY, MARTIN","REILLEY, KIMBERLY","0","3830510","1","P O BOX 219088 ACC 0274L","DALLAS TX","752219088","X","20120319","C","7 ELEVEN OF NEVADA INC","PRES","SEC","SERVICE STATION","447190","","","","","MINOR AUTOMOTIVE SVC","TO BE DROPPED","30 W WYOMING AV","75221","A55  4203   464"
"30","W","WYOMING","AV","","7 ELEVEN FOOD STORE 29667","GILL, DEVINDER SINGH","BEVERWYK, JOSEPH","0","3830510","1","P O BOX 219088 ACC 0274L","DALLAS TX","752219088","","0","C","7 ELEVEN OF NEVADA INC","FRAN MNGR","PRES","TOBACCO DLR","453991","","","","","TOBACCO DEALER-RETAIL","ACTIVE","30 W WYOMING AV","75221","C05  674B   464"
"30","W","WYOMING","AV","","7 ELEVEN FOOD STORE 29667","GILL, DEVINDER SINGH","BEVERWYK, JOSEPH","0","3830510","1","P O BOX 219088 ACC 0274L","DALLAS TX","752219088","","0","C","7 ELEVEN OF NEVADA INC","FRAN MNGR","PRES","CONVENIENCE STR/GAS","445120","","","","","CONVENIENCE STORE","ACTIVE","30 W WYOMING AV","75221","C15   283   464"
"30","W","WYOMING","AV","","7 ELEVEN FOOD STORE 29667","GILL, DEVINDER SINGH","BEVERWYK, JOSEPH","0","3830510","1","P O BOX 219088 ACC 0274L","DALLAS TX","752219088","","0","C","7 ELEVEN OF NEVADA INC","FRAN MNGR","PRES","PACKAGE ALCOHOL LIC","445310","","","","","PACKAGE","ACTIVE","30 W WYOMING AV","75221","L15    84   464"
"58","","30TH","ST","A","CRISTOBAL SANTOS & LETICIA ARR","SANTOS, CRISTOBAL","ARREAGA, LETICIA","702","4744895","3","58 30TH ST A","LAS VEGAS NV","891010000","","0","C","CRISTOBAL SANTOS & LETICIA ARR","MBR 50%","MBR 50%","WAREHOUSE","493110","","","","","WAREHOUSE OR STORAGE","ACTIVE","58 30TH ST","89101","W07   85C102402"
"58","","30TH","ST","A","INTERNATIONAL KITCHEN","ARREAGA, LETICIA","","702","4603447","3","1277 ANASTASIA ST","LAS VEGAS NV","891101869","","0","C","LETICIA ARREAGA INTERNATIONAL","D/P/ST100%","","MOBILE FOOD VENDOR","722330","","","","","MOBILE FOOD VENDOR","ACTIVE","58 30TH ST","89110","M25   184 79743"
"58","","30TH","ST","A","SAMMYS FOOD SERVICE","SANTOS, CRISTOBAL","SANTOS, MARIA I","0","2100032","3","6127 ROCKY TOP AV","LAS VEGAS NV","891100000","","20090402","C","SAMMY'S FOOD SERVICE INC","D/P/50%","D/ST/50%","MOBILE FOOD VENDOR","722330","","","","","MOBILE FOOD VENDOR","ACTIVE","58 30TH ST","89110","M25   354 65803"
"58","","30TH","ST","A","SAMMYS FOOD SERVICE","SANTOS, CRISTOBAL","SANTOS, MARIA I","0","2100032","3","6127 ROCKY TOP AV","LAS VEGAS NV","891100000","","20090402","C","SAMMYS FOOD SERVICE INC","D/P/50%","D/ST/50%","MOBILE FOOD VENDOR","722330","","","","","MOBILE FOOD VENDOR","ACTIVE","58 30TH ST","89110","M25   434 65803"
"58","","30TH","ST","A","INTERNATIONAL KITCHEN","ARREAGA, LETICIA","","702","4603447","3","1277 ANASTASIA ST","LAS VEGAS NV","891101869","","20090515","C","LETICIA ARREAGA INTERNATIONAL","D/P/ST100%","","MOBILE FOOD VENDOR","722330","","","","","MOBILE FOOD VENDOR","ACTIVE","58 30TH ST","89110","M25   654 79743"
"58","","30TH","ST","","EXPRESS CATERING","BARBOZA, MARIA","","0","5237752","3","6608 ALMA WHITE ST","LAS VEGAS NV","891100000","O","20100412","S","","DPST 100%","","MOBILE FOOD VENDOR","722330","","","","","MOBILE FOOD VENDOR","OUT OF BUSINESS","58 30TH ST","89110","M25  1744 84465"
"58","","30TH","ST","A","INTERNATIONAL KITCHEN INC","ARREAGA, LETICIA","","702","4603447","3","1277 ANASTASIA ST","LAS VEGAS NV","891101869","","0","C","LETICIA ARREAGA INTERNATIONAL","OWNER 100%","","MOBILE FOOD VENDOR","722330","","","","","MOBILE FOOD VENDOR","ACTIVE","58 30TH ST","89110","M25  1814 79743"
"58","","30TH","ST","","ALEX FOOD SERVICE","RIZO, HILDA BERTHA","","0","4489023","3","1687 VEGAS VALLEY DR","LAS VEGAS NV","891690000","","0","S","","100%","","MOBILE FOOD SERVICE","722330","","","","","MOBILE FOOD VENDOR","ACTIVE","58 30TH ST","89169","M25  1564131792"
"9","W","CHARLESTON","BL","","FIRST FRIDAY OPEN GYM","BENITEZ-SMITH, ELIZABETH","","702","5956303","3","3245 ROSANNA ST","LAS VEGAS NV","891170000","O","20101008","C","BENISMI PROPERTIES LLC","","","SPECIAL EVENT GENERA","722410","","","","","SPECIAL EVENT GENERAL","OUT OF BUSINESS","9 W CHARLESTON BL","89117","L27  2030132583"
"9","W","CHARLESTON","BL","","FIRST FRIDAY OPEN GYM JOHNNY T","BENITEZ-SMITH, ELIZABETH","","702","5956303","3","3245 ROSANNA ST","LAS VEGAS NV","891170000","O","20101005","C","BENISMI PROPERTIES LLC","","","OPEN HOUSE","454390","","","","","TEMP EVENT OPERATOR","OUT OF BUSINESS","9 W CHARLESTON BL","89117","T26 10110132583"
"9","W","CHARLESTON","BL","","JOHNNY TOCCOS BOXING GYM","SMITH, JAMES J","SMITH, ELIZABETH BENITEZ","0","3678269","3","10316 POMPEI PL","LAS VEGAS NV","891440000","","20070411","C","BENISMI PROPERTIES LLC","MGR 50%","MGR 50%","BOXING GYM","713940","","","","","HEALTH & FITNESS CLUB","ACTIVE","9 W CHARLESTON BL","89144","H08   62B132583"
"9","W","CHARLESTON","BL","","JOHNNY TOCCOS BOXING GYM","SMITH, JAMES J","SMITH, ELIZABETH BENITEZ","0","3678269","3","10316 POMPEI PL","LAS VEGAS NV","891440000","","0","C","BENISMI PROPERTIES LLC","MGR 50%","MGR 50%","BOXING GEAR/SHIRTS","451110","","","","","SPORTING GOODS","ACTIVE","9 W CHARLESTON BL","89144","S14  7612132583"
"9","W","DELHI","AV","","MEDICWEST AMBULANCE","SANGER, WILLIAM A","HARVEY, DONS","0","6509900","0","9 W DELHI AV","NORTH LAS VEGAS NV","890320000","","20120228","C","MEDICWEST AMBULANCE INC","CEO","COO","AMBULANCE SERVICES","621910","","","","","AMBULANCE","ACTIVE","9 W DELHI AV","89032","A05    35 86070"
"9","W","DELHI","AV","","MEDICWEST AMBULANCE","SANGER, WILLIAM A","HARVEY, DONS","0","6509900","0","9 W DELHI AV","NORTH LAS VEGAS NV","890320000","","0","C","MEDICWEST AMBULANCE","CEO","COO","AMBULANCE FRANCHISE","621910","","","","","AMBULANCE FRANCHISE","ACTIVE","9 W DELHI AV","89032","A10    20 86070"
"10","","HARVARD","ST","","HIGH SIERRA SPECIAL EVENTS CO","JARAMILLO, TOM","","0","8771807","1","P O BOX 27812","LAS VEGAS NV","891261812","O","20120716","S","","OWNER","","SPECIAL EVENT HELPER","812990","","","","","PARTY PLANNING SVC","OUT OF BUSINESS","10 HARVARD ST","89126","P26   52C 74192"
"10","","RESEARCH","LN","","ULTRASIGNS INC","HADAYA, JOHN","HADAYA, GHASSAN","702","4311729","3","10 RESEARCH LN","LAS VEGAS NV","891010000","","20121101","C","ULTRASIGNS INC","PRES 50%","CEO 50%","CONTRACTOR","23000","P","S","S","S","CONTRACTOR (MJBL)","ACTIVE","10 RESEARCH LN","89101","C25 27445129607"
"18","","SUNRISE","DR","G70","STING ALARM INC","FINE, JONATHAN M","PERRY, JONATHAN","702","7378464","0","5 LONGEVITY DR","HENDERSON NV","890140000","O","20130401","C","STING ALARM INC","PRES 100%","SECY","BURGLAR ALARM SERVIC","561621","","","","","BURGLAR ALARM SERVICES","OUT OF BUSINESS","18 SUNRISE DR","89014","B13  141A 94424"
"18","","SUNRISE","DR","G70","STING SURVEILLANCE LLC","FINE, JONATHAN","","0","7378464","0","5 LONGEVITY DR","HENDERSON NV","890140000","O","20120828","C","STING SURVEILLANCE LLC","PRES","","CONTRACTOR","236","P","","","","CONTRACTOR (MJBL)","OUT OF BUSINESS","18 SUNRISE DR","89014","C25 14725115756"
"18","","SUNRISE","DR","G70","STING ALARM INC","FINE, JONATHAN M","PERRY, JONATHAN","702","7378464","0","5 LONGEVITY DR","HENDERSON NV","890140000","O","20120828","C","STING ALARM INC","PRES 100%","SECY","CONTRACTOR IN LV","23000","P","","","","CONTRACTOR (MJBL)","OUT OF BUSINESS","18 SUNRISE DR","89014","C25 27435 94424"
"18","","SUNRISE","DR","","STING ALARM INC","","","702","8983555","0","5 LONGEVITY DR","HENDERSON NV","890140000","O","20130430","","","","","CONTRACTOR","0","S","P","S","S","CONTRACTOR (MJBL)","OUT OF BUSINESS","18 SUNRISE DR","89014","C25999995999999"
"18","W","MAYFLOWER","AV","","HIGH ENERGY ELECTRIC","CORTNEY, PHILLIP","","0","6393555","0","18 W MAYFLOWER AV","NORTH LAS VEGAS NV","890303950","O","20120822","S","","OWNER","","ELECT CONTRACTOR","236","P","","","","CONTRACTOR (MJBL)","OUT OF BUSINESS","18 W MAYFLOWER AV","89030","C25 10695 38184"
"18","W","MAYFLOWER","AV","","HIGH ENERGY ELECTRIC","","","702","6393555","0","18 W MAYFLOWER AVE","NLV NV","890300000","","20131031","","","","","ELECTRICIAL","0","S","S","P","S","CONTRACTOR (MJBL)","ACTIVE","18 W MAYFLOWER AV","89030","C25999995999999"
"19","","30TH","ST","","PEDROS AUTO BODY & MECHANIC","SALVADOR MALDONADO, PEDRO","","0","3022263","3","3208 ASHER LN","NORTH LAS VEGAS NV","890320000","","0","C","PEDROS AUTO BODY & MECHANIC","OWNER 100%","","AUTO BODY/MECHANIC","811118","","","","","MAJOR AUTOMOTIVE GARAGE","ACTIVE","19 30TH ST","89032","A60  2293161763"
"19","","30TH","ST","","S & R AUTO REPAIR","MELENDEZ, SONIA","","702","3254018","3","19 30TH ST","LAS VEGAS NV","891010000","O","20120905","S","","100","","AUTO BODY REPAIR","811111","","","","","MAJOR AUTOMOTIVE GARAGE","OUT OF BUSINESS","19 30TH ST","89101","A60    32157615"
"19","","BIG CREEK","CT","","CLUB VENDING","BONN, BRYAN","BONN, KELLY","702","2229608","0","19 BIG CREEK CT","LAS VEGAS NV","891480000","","20120709","C","LUCKY MARTS INC LLC","PRES 50%","VP 50%","VENDING MACHINES","454210","","","","","GENERAL SALES","ACTIVE","19 BIG CREEK CT","89148","G50 76253133284"
"30","W","WYOMING","AV","","UNITED COIN MACHINE COMPANY","GILL, DEVINDER SINGH","","0","0","1","600 PILOT RD","LAS VEGAS NV","891190000","","0","C","UNITED COIN MACHINE COMPANY","FRAN MNGR","","","921130","","","","","CONV HALL GAMING TAX","ACTIVE","30 W WYOMING AV","89119","C20 11217   464"
"30","W","WYOMING","AV","","UNITED COIN MACHINE COMPANY","GILL, DEVINDER SINGH","","0","0","1","600 PILOT RD","LAS VEGAS NV","891190000","","0","","","FRAN MNGR","","","713290","","","","","GAMING RESTRICTED","ACTIVE","30 W WYOMING AV","89119","G01 11214   464"
"31","N","MOJAVE","RD","110","SPORTS 1 & SKI","BILES, GRAHAM C","","0","6476000","3","31 N MOJAVE RD 110","LAS VEGAS NV","891010000","","20100204","S","","OWNER 100%","","SPORTING GOODS","451110","","","","","SPORTING GOODS","ACTIVE","31 N MOJAVE RD","89101","S14  2506 25122"
"31","N","MOJAVE","RD","120","SADDLERIGHT INC","FREEMAN, MICHAEL R","FREEMAN, JANETTE","702","4341800","3","P O BOX 42579","LAS VEGAS NV","891160579","","0","C","SADDLERIGHT INC","PRESIDENT","SEC TRES","ORTHO HORSE SADDLES","999999","","","","","GENERAL SALES","ACTIVE","31 N MOJAVE RD","89116","G50 53693 71447"
"31","N","NELLIS","BL","","GOODWILL INDUSTRIES OF SO NV","CHARTRAND, STEVE D","KLUTH, EDD","0","2142000","3","1280 W CHEYENNE AV","NORTH LAS VEGAS NV","890300000","","0","C","GOODWILL INDUSTRIES OF SO NV","PRES","COB","THRIFT STORE NONPROF","453310","","","","","NON-PROFIT THRIFT STORE","ACTIVE","31 N NELLIS BL","89030","N36    8J 75738"
"31","W","OWENS","AV","","SALVATION ARMY THE","EDWARD, DAVID","NILES, ALLIE L","702","6570123","0","P O BOX 28369","LAS VEGAS NV","891260000","","0","C","SALVATION ARMY THE","PRES","SEC","HOMELESS SHELTER","624221","","","","","NON-PROFIT HOMELESS/RES","ACTIVE","31 W OWENS AV","89126","N38    1F 91779"
"32","","CEDAR","RD","","KEVIN MOLONEY CONTRACTING INC","MOLONEY, KEVIN","","0","8601258","0","HCR 38 BOX 866","LAS VEGAS NV","891240000","O","20100901","C","KEVIN MOLONEY CONTRACTING INC","OWNER 100%","","CONTRACTOR","23000","","","","","CONTRACTOR IN CLV","OUT OF BUSINESS","32 CEDAR RD","89124","C11 7853E121893"
"32","","FREMONT","ST","","MERMAIDS CASINO","BURNSTINE, STEVEN J","FORREST, RODNEY WAYNE","0","3854250","5","111 N 1ST ST","LAS VEGAS NV","891010000","","0","C","GRANITE GAMING GROUP I LLC","MMBR 100%","KEY EMP","CONVENTION HALL TAX","921130","","","","","CONV HALL GAMING TAX","ACTIVE","32 FREMONT ST","89101","C30 10138     4"
